date,home_team,away_team,team,scorer,minute,own_goal,penalty
2023-10-14,Denmark,Kazakhstan,Denmark,Robert Skov,45,FALSE,FALSE
2023-10-14,Denmark,Kazakhstan,Denmark,Robert Skov,48,FALSE,FALSE
2023-10-14,Denmark,Kazakhstan,Kazakhstan,Yan Vorogovsky,58,FALSE,FALSE
2023-10-14,Hungary,Serbia,Hungary,Barnabás Varga,20,FALSE,FALSE
2023-10-14,Hungary,Serbia,Serbia,Strahinja Pavlović,33,FALSE,FALSE
2023-10-14,Hungary,Serbia,Hungary,Roland Sallai,34,FALSE,FALSE
2023-10-14,Italy,Malta,Italy,Giacomo Bonaventura,23,FALSE,FALSE
2023-10-14,Italy,Malta,Italy,Domenico Berardi,45,FALSE,FALSE
2023-10-14,Italy,Malta,Italy,Domenico Berardi,64,FALSE,FALSE
2023-10-14,Italy,Malta,Italy,Davide Frattesi,90,FALSE,FALSE
2023-10-14,Northern Ireland,San Marino,Northern Ireland,Paul Smyth,5,FALSE,FALSE
2023-10-14,Northern Ireland,San Marino,Northern Ireland,Josh Magennis,11,FALSE,FALSE
2023-10-14,Northern Ireland,San Marino,Northern Ireland,Conor McMenamin,81,FALSE,FALSE
2023-10-14,Slovenia,Finland,Slovenia,Benjamin Šeško,16,FALSE,TRUE
2023-10-14,Slovenia,Finland,Slovenia,Benjamin Šeško,28,FALSE,FALSE
2023-10-14,Slovenia,Finland,Slovenia,Erik Janža,90,FALSE,FALSE
2023-10-14,Ukraine,North Macedonia,Ukraine,Heorhiy Sudakov,30,FALSE,FALSE
2023-10-14,Ukraine,North Macedonia,Ukraine,Oleksandr Karavayev,90,FALSE,FALSE
2023-10-15,Czech Republic,Faroe Islands,Czech Republic,Tomáš Souček,76,FALSE,TRUE
2023-10-15,Georgia,Cyprus,Georgia,Otar Kiteishvili,46,FALSE,FALSE
2023-10-15,Georgia,Cyprus,Georgia,Khvicha Kvaratskhelia,58,FALSE,FALSE
2023-10-15,Georgia,Cyprus,Georgia,Levan Shengelia,82,FALSE,FALSE
2023-10-15,Georgia,Cyprus,Georgia,Georges Mikautadze,90,FALSE,TRUE
2023-10-15,Norway,Spain,Spain,Gavi,49,FALSE,FALSE
2023-10-15,Poland,Moldova,Moldova,Ion Nicolaescu,26,FALSE,FALSE
2023-10-15,Poland,Moldova,Poland,Karol Świderski,53,FALSE,FALSE
2023-10-15,Romania,Andorra,Romania,Nicolae Stanciu,23,FALSE,FALSE
2023-10-15,Romania,Andorra,Romania,Ianis Hagi,28,FALSE,FALSE
2023-10-15,Romania,Andorra,Romania,Răzvan Marin,44,FALSE,TRUE
2023-10-15,Romania,Andorra,Romania,Florinel Coman,50,FALSE,FALSE
2023-10-15,Switzerland,Belarus,Switzerland,Xherdan Shaqiri,28,FALSE,FALSE
2023-10-15,Switzerland,Belarus,Belarus,Max Ebong,61,FALSE,FALSE
2023-10-15,Switzerland,Belarus,Belarus,Denis Polyakov,69,FALSE,FALSE
2023-10-15,Switzerland,Belarus,Belarus,Dmitry Antilevsky,84,FALSE,FALSE
2023-10-15,Switzerland,Belarus,Switzerland,Manuel Akanji,89,FALSE,FALSE
2023-10-15,Switzerland,Belarus,Switzerland,Zeki Amdouni,90,FALSE,FALSE
2023-10-15,Turkey,Latvia,Turkey,Yunus Akgün,58,FALSE,FALSE
2023-10-15,Turkey,Latvia,Turkey,Cenk Tosun,84,FALSE,FALSE
2023-10-15,Turkey,Latvia,Turkey,Kerem Aktürkoğlu,88,FALSE,FALSE
2023-10-15,Turkey,Latvia,Turkey,Cenk Tosun,90,FALSE,FALSE
2023-10-15,Wales,Croatia,Wales,Harry Wilson,47,FALSE,FALSE
2023-10-15,Wales,Croatia,Wales,Harry Wilson,60,FALSE,FALSE
2023-10-15,Wales,Croatia,Croatia,Mario Pašalić,75,FALSE,FALSE
2023-10-16,Azerbaijan,Austria,Austria,Marcel Sabitzer,48,FALSE,TRUE
2023-10-16,Belgium,Sweden,Sweden,Viktor Gyökeres,15,FALSE,FALSE
2023-10-16,Belgium,Sweden,Belgium,Romelu Lukaku,31,FALSE,TRUE
2023-10-16,Bosnia and Herzegovina,Portugal,Portugal,Cristiano Ronaldo,5,FALSE,TRUE
2023-10-16,Bosnia and Herzegovina,Portugal,Portugal,Cristiano Ronaldo,20,FALSE,FALSE
2023-10-16,Bosnia and Herzegovina,Portugal,Portugal,Bruno Fernandes,25,FALSE,FALSE
2023-10-16,Bosnia and Herzegovina,Portugal,Portugal,João Cancelo,32,FALSE,FALSE
2023-10-16,Bosnia and Herzegovina,Portugal,Portugal,João Félix,41,FALSE,FALSE
2023-10-16,Gibraltar,Republic of Ireland,Republic of Ireland,Evan Ferguson,8,FALSE,FALSE
2023-10-16,Gibraltar,Republic of Ireland,Republic of Ireland,Mikey Johnston,28,FALSE,FALSE
2023-10-16,Gibraltar,Republic of Ireland,Republic of Ireland,Matt Doherty,60,FALSE,FALSE
2023-10-16,Gibraltar,Republic of Ireland,Republic of Ireland,Callum Robinson,80,FALSE,FALSE
2023-10-16,Greece,Netherlands,Netherlands,Virgil van Dijk,90,FALSE,TRUE
2023-10-16,Iceland,Liechtenstein,Iceland,Gylfi Sigurðsson,22,FALSE,TRUE
2023-10-16,Iceland,Liechtenstein,Iceland,Alfreð Finnbogason,44,FALSE,FALSE
2023-10-16,Iceland,Liechtenstein,Iceland,Gylfi Sigurðsson,49,FALSE,FALSE
2023-10-16,Iceland,Liechtenstein,Iceland,Hákon Arnar Haraldsson,63,FALSE,FALSE
2023-10-16,Luxembourg,Slovakia,Slovakia,Dávid Ďuriš,77,FALSE,FALSE
2023-10-17,Bangladesh,Maldives,Bangladesh,Rakib Hossain,11,FALSE,FALSE
2023-10-17,Bangladesh,Maldives,Maldives,Aisam Ibrahim,36,FALSE,FALSE
2023-10-17,Bangladesh,Maldives,Bangladesh,Foysal Ahmed Fahim,46,FALSE,FALSE
2023-10-17,Bhutan,Hong Kong,Bhutan,Chencho Gyeltshen,28,FALSE,FALSE
2023-10-17,Bhutan,Hong Kong,Bhutan,Lobzang Chogyal,47,FALSE,FALSE
2023-10-17,Brunei,Indonesia,Indonesia,Hokky Caraka,6,FALSE,FALSE
2023-10-17,Brunei,Indonesia,Indonesia,Egy Maulana Vikri,42,FALSE,FALSE
2023-10-17,Brunei,Indonesia,Indonesia,Hokky Caraka,44,FALSE,FALSE
2023-10-17,Brunei,Indonesia,Indonesia,Witan Sulaeman,47,FALSE,TRUE
2023-10-17,Brunei,Indonesia,Indonesia,Rizky Ridho,63,FALSE,FALSE
2023-10-17,Brunei,Indonesia,Indonesia,Ramadhan Sananta,82,FALSE,FALSE
2023-10-17,England,Italy,Italy,Gianluca Scamacca,15,FALSE,FALSE
2023-10-17,England,Italy,England,Harry Kane,32,FALSE,TRUE
2023-10-17,England,Italy,England,Marcus Rashford,57,FALSE,FALSE
2023-10-17,England,Italy,England,Harry Kane,77,FALSE,FALSE
2023-10-17,Finland,Kazakhstan,Finland,Robert Taylor,28,FALSE,FALSE
2023-10-17,Finland,Kazakhstan,Kazakhstan,Bakhtiyar Zaynutdinov,77,FALSE,TRUE
2023-10-17,Finland,Kazakhstan,Kazakhstan,Bakhtiyar Zaynutdinov,89,FALSE,FALSE
2023-10-17,Guam,Singapore,Singapore,Shawal Anuar,81,FALSE,FALSE
2023-10-17,Laos,Nepal,Nepal,Manish Dangi,53,FALSE,FALSE
2023-10-17,Lithuania,Hungary,Lithuania,Fedor Černych,20,FALSE,FALSE
2023-10-17,Lithuania,Hungary,Lithuania,Pijus Širvys,36,FALSE,FALSE
2023-10-17,Lithuania,Hungary,Hungary,Dominik Szoboszlai,67,FALSE,TRUE
2023-10-17,Lithuania,Hungary,Hungary,Barnabás Varga,82,FALSE,FALSE
2023-10-17,Malta,Ukraine,Malta,Paul Mbong,12,FALSE,FALSE
2023-10-17,Malta,Ukraine,Ukraine,Ryan Camenzuli,38,TRUE,FALSE
2023-10-17,Malta,Ukraine,Ukraine,Artem Dovbyk,43,FALSE,TRUE
2023-10-17,Malta,Ukraine,Ukraine,Mykhailo Mudryk,85,FALSE,FALSE
2023-10-17,Mongolia,Afghanistan,Afghanistan,Farshad Noor,72,FALSE,FALSE
2023-10-17,Northern Ireland,Slovenia,Slovenia,Adam Gnezda Čerin,5,FALSE,FALSE
2023-10-17,Pakistan,Cambodia,Pakistan,Harun Hamid,68,FALSE,FALSE
2023-10-17,Paraguay,Bolivia,Paraguay,Antonio Sanabria,69,FALSE,FALSE
2023-10-17,Peru,Argentina,Argentina,Lionel Messi,32,FALSE,FALSE
2023-10-17,Peru,Argentina,Argentina,Lionel Messi,42,FALSE,FALSE
2023-10-17,San Marino,Denmark,Denmark,Rasmus Højlund,42,FALSE,FALSE
2023-10-17,San Marino,Denmark,San Marino,Alessandro Golinucci,61,FALSE,FALSE
2023-10-17,San Marino,Denmark,Denmark,Yussuf Poulsen,70,FALSE,FALSE
2023-10-17,Serbia,Montenegro,Serbia,Aleksandar Mitrović,9,FALSE,FALSE
2023-10-17,Serbia,Montenegro,Montenegro,Stevan Jovetić,36,FALSE,FALSE
2023-10-17,Serbia,Montenegro,Serbia,Aleksandar Mitrović,74,FALSE,FALSE
2023-10-17,Serbia,Montenegro,Serbia,Dušan Tadić,77,FALSE,FALSE
2023-10-17,Sri Lanka,Yemen,Yemen,Abdulwasea Al-Matari,4,FALSE,FALSE
2023-10-17,Sri Lanka,Yemen,Sri Lanka,Charitha Rathnayake,89,FALSE,FALSE
2023-10-17,Taiwan,Timor-Leste,Taiwan,Yu Chia-huang,18,FALSE,FALSE
2023-10-17,Taiwan,Timor-Leste,Taiwan,Wu Yen-shu,21,FALSE,FALSE
2023-10-17,Taiwan,Timor-Leste,Taiwan,Ange Kouamé,24,FALSE,FALSE
2023-10-17,Uruguay,Brazil,Uruguay,Darwin Núñez,42,FALSE,FALSE
2023-10-17,Uruguay,Brazil,Uruguay,Nicolás de la Cruz,77,FALSE,FALSE
2023-10-17,Venezuela,Chile,Venezuela,Yeferson Soteldo,45,FALSE,FALSE
2023-10-17,Venezuela,Chile,Venezuela,Salomón Rondón,72,FALSE,FALSE
2023-10-17,Venezuela,Chile,Venezuela,Darwin Machís,79,FALSE,FALSE
2023-11-12,Kosovo,Israel,Kosovo,Milot Rashica,41,FALSE,FALSE
2023-11-15,DR Congo,Mauritania,DR Congo,Yoane Wissa,62,FALSE,FALSE
2023-11-15,DR Congo,Mauritania,DR Congo,Théo Bongonda,81,FALSE,FALSE
2023-11-15,Israel,Switzerland,Switzerland,Ruben Vargas,36,FALSE,FALSE
2023-11-15,Israel,Switzerland,Israel,Shon Weissman,88,FALSE,FALSE
2023-11-16,Algeria,Somalia,Algeria,Ahmed Abdullahi Abdi,2,TRUE,FALSE
2023-11-16,Algeria,Somalia,Algeria,Baghdad Bounedjah,31,FALSE,FALSE
2023-11-16,Algeria,Somalia,Somalia,Yusuf Ahmed,65,FALSE,FALSE
2023-11-16,Algeria,Somalia,Algeria,Islam Slimani,80,FALSE,FALSE
2023-11-16,Argentina,Uruguay,Uruguay,Ronald Araújo,41,FALSE,FALSE
2023-11-16,Argentina,Uruguay,Uruguay,Darwin Núñez,87,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Harry Souttar,4,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Brandon Borrello,20,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Mitchell Duke,37,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Mitchell Duke,40,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Jamie Maclaren,48,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Jamie Maclaren,70,FALSE,FALSE
2023-11-16,Australia,Bangladesh,Australia,Jamie Maclaren,84,FALSE,FALSE
2023-11-16,Azerbaijan,Sweden,Azerbaijan,Emin Mahmudov,3,FALSE,FALSE
2023-11-16,Azerbaijan,Sweden,Azerbaijan,Renat Dadashov,6,FALSE,FALSE
2023-11-16,Azerbaijan,Sweden,Azerbaijan,Emin Mahmudov,89,FALSE,FALSE
2023-11-16,Bolivia,Peru,Bolivia,Henry Vaca,20,FALSE,FALSE
2023-11-16,Bolivia,Peru,Bolivia,Ramiro Vaca,87,FALSE,FALSE
2023-11-16,Botswana,Mozambique,Mozambique,Clésio,14,FALSE,FALSE
2023-11-16,Botswana,Mozambique,Mozambique,Stanley Ratifo,52,FALSE,FALSE
2023-11-16,Botswana,Mozambique,Botswana,Molaodi Tlhalefang,74,FALSE,FALSE
2023-11-16,Botswana,Mozambique,Mozambique,Jonathan Muiomo,75,FALSE,FALSE
2023-11-16,Botswana,Mozambique,Botswana,Mogakolodi Ngele,85,FALSE,FALSE
2023-11-16,Bulgaria,Hungary,Hungary,Martin Ádám,10,FALSE,FALSE
2023-11-16,Bulgaria,Hungary,Bulgaria,Spas Delev,24,FALSE,FALSE
2023-11-16,Bulgaria,Hungary,Bulgaria,Kiril Despodov,78,FALSE,TRUE
2023-11-16,Bulgaria,Hungary,Hungary,Aleks Petkov,90,TRUE,FALSE
2023-11-16,Burundi,Gambia,Burundi,Abedi Bigirimana,31,FALSE,FALSE
2023-11-16,Burundi,Gambia,Burundi,Frédéric Nsabiyumva,35,FALSE,FALSE
2023-11-16,Burundi,Gambia,Gambia,Musa Barrow,45,FALSE,FALSE
2023-11-16,Burundi,Gambia,Burundi,Sudi Abdallah,75,FALSE,FALSE
2023-11-16,Burundi,Gambia,Gambia,Ebrima Colley,90,FALSE,TRUE
2023-11-16,Colombia,Brazil,Brazil,Gabriel Martinelli,4,FALSE,FALSE
2023-11-16,Colombia,Brazil,Colombia,Luis Díaz,75,FALSE,FALSE
2023-11-16,Colombia,Brazil,Colombia,Luis Díaz,79,FALSE,FALSE
2023-11-16,Cyprus,Spain,Spain,Lamine Yamal,5,FALSE,FALSE
2023-11-16,Cyprus,Spain,Spain,Mikel Oyarzabal,22,FALSE,FALSE
2023-11-16,Cyprus,Spain,Spain,Joselu,28,FALSE,FALSE
2023-11-16,Cyprus,Spain,Cyprus,Kostas Pileas,75,FALSE,FALSE
2023-11-16,Egypt,Djibouti,Egypt,Mohamed Salah,17,FALSE,FALSE
2023-11-16,Egypt,Djibouti,Egypt,Mohamed Salah,22,FALSE,TRUE
2023-11-16,Egypt,Djibouti,Egypt,Mohamed Salah,48,FALSE,FALSE
2023-11-16,Egypt,Djibouti,Egypt,Mohamed Salah,69,FALSE,FALSE
2023-11-16,Egypt,Djibouti,Egypt,Mostafa Mohamed,73,FALSE,FALSE
2023-11-16,Egypt,Djibouti,Egypt,Trézéguet,89,FALSE,FALSE
2023-11-16,Estonia,Austria,Austria,Konrad Laimer,25,FALSE,FALSE
2023-11-16,Estonia,Austria,Austria,Philipp Lienhart,39,FALSE,FALSE
2023-11-16,Gabon,Kenya,Kenya,Masoud Juma,40,FALSE,FALSE
2023-11-16,Gabon,Kenya,Gabon,Denis Bouanga,60,FALSE,FALSE
2023-11-16,Gabon,Kenya,Gabon,Guélor Kanga,88,FALSE,FALSE
2023-11-16,Georgia,Scotland,Georgia,Khvicha Kvaratskhelia,15,FALSE,FALSE
2023-11-16,Georgia,Scotland,Scotland,Scott McTominay,49,FALSE,FALSE
2023-11-16,Georgia,Scotland,Georgia,Khvicha Kvaratskhelia,57,FALSE,FALSE
2023-11-16,Georgia,Scotland,Scotland,Lawrence Shankland,90,FALSE,FALSE
2023-11-16,Iran,Hong Kong,Iran,Sardar Azmoun,12,FALSE,FALSE
2023-11-16,Iran,Hong Kong,Iran,Sardar Azmoun,15,FALSE,FALSE
2023-11-16,Iran,Hong Kong,Iran,Mehdi Taremi,87,FALSE,FALSE
2023-11-16,Iran,Hong Kong,Iran,Ramin Rezaeian,90,FALSE,FALSE
2023-11-16,Iraq,Indonesia,Iraq,Bashar Resan,20,FALSE,FALSE
2023-11-16,Iraq,Indonesia,Iraq,Jordi Amat,35,TRUE,FALSE
2023-11-16,Iraq,Indonesia,Indonesia,Shayne Pattynama,45,FALSE,FALSE
2023-11-16,Iraq,Indonesia,Iraq,Osama Rashid,60,FALSE,FALSE
2023-11-16,Iraq,Indonesia,Iraq,Youssef Amyn,81,FALSE,FALSE
2023-11-16,Iraq,Indonesia,Iraq,Ali Al-Hamadi,88,FALSE,FALSE
2023-11-16,Japan,Myanmar,Japan,Ayase Ueda,11,FALSE,FALSE
2023-11-16,Japan,Myanmar,Japan,Daichi Kamada,28,FALSE,FALSE
2023-11-16,Japan,Myanmar,Japan,Ayase Ueda,45,FALSE,FALSE
2023-11-16,Japan,Myanmar,Japan,Ayase Ueda,50,FALSE,FALSE
2023-11-16,Japan,Myanmar,Japan,Ritsu Dōan,86,FALSE,FALSE
2023-11-16,Kuwait,India,India,Manvir Singh,75,FALSE,FALSE
2023-11-16,Liechtenstein,Portugal,Portugal,Cristiano Ronaldo,46,FALSE,FALSE
2023-11-16,Liechtenstein,Portugal,Portugal,João Cancelo,57,FALSE,FALSE
2023-11-16,Luxembourg,Bosnia and Herzegovina,Luxembourg,Mathias Olesen,6,FALSE,FALSE
2023-11-16,Luxembourg,Bosnia and Herzegovina,Luxembourg,Gerson Rodrigues,30,FALSE,TRUE
2023-11-16,Luxembourg,Bosnia and Herzegovina,Luxembourg,Nihad Mujakić,55,TRUE,FALSE
2023-11-16,Luxembourg,Bosnia and Herzegovina,Luxembourg,Gerson Rodrigues,90,FALSE,FALSE
2023-11-16,Luxembourg,Bosnia and Herzegovina,Bosnia and Herzegovina,Renato Gojković,90,FALSE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Malaysia,Dion Cools,7,FALSE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Kyrgyzstan,Kayrat Zhyrgalbek uulu,42,FALSE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Kyrgyzstan,Ernist Batyrkanov,44,FALSE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Kyrgyzstan,Kai Merk,57,FALSE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Malaysia,Khristiyan Brauzman,72,TRUE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Malaysia,Dion Cools,77,FALSE,FALSE
2023-11-16,Malaysia,Kyrgyzstan,Malaysia,Faisal Halim,90,FALSE,FALSE
2023-11-16,Montenegro,Lithuania,Montenegro,Edvin Kuč,3,FALSE,FALSE
2023-11-16,Montenegro,Lithuania,Montenegro,Stevan Jovetić,48,FALSE,FALSE
2023-11-16,Nigeria,Lesotho,Lesotho,Motlomelo Mkwanazi,56,FALSE,FALSE
2023-11-16,Nigeria,Lesotho,Nigeria,Semi Ajayi,67,FALSE,FALSE
2023-11-16,Oman,Taiwan,Oman,Omar Al-Malki,17,FALSE,FALSE
2023-11-16,Oman,Taiwan,Oman,Pan Wen-chieh,41,TRUE,FALSE
2023-11-16,Oman,Taiwan,Oman,Mataz Saleh,90,FALSE,FALSE
2023-11-16,Philippines,Vietnam,Vietnam,Nguyễn Văn Toàn,16,FALSE,FALSE
2023-11-16,Philippines,Vietnam,Vietnam,Nguyễn Đình Bắc,90,FALSE,FALSE
2023-11-16,Qatar,Afghanistan,Qatar,Hassan Al-Haydos,11,FALSE,FALSE
2023-11-16,Qatar,Afghanistan,Afghanistan,Amredin Sharifi,13,FALSE,FALSE
2023-11-16,Qatar,Afghanistan,Qatar,Almoez Ali,15,FALSE,FALSE
2023-11-16,Qatar,Afghanistan,Qatar,Mostafa Meshaal,18,FALSE,FALSE
2023-11-16,Qatar,Afghanistan,Qatar,Almoez Ali,26,FALSE,FALSE
2023-11-16,Qatar,Afghanistan,Qatar,Almoez Ali,33,FALSE,TRUE
2023-11-16,Qatar,Afghanistan,Qatar,Almoez Ali,45,FALSE,TRUE
2023-11-16,Qatar,Afghanistan,Qatar,Ahmed Alaaeldin,53,FALSE,TRUE
2023-11-16,Qatar,Afghanistan,Qatar,Tameem Al-Abdullah,90,FALSE,FALSE
2023-11-16,Saudi Arabia,Pakistan,Saudi Arabia,Saleh Al-Shehri,6,FALSE,FALSE
2023-11-16,Saudi Arabia,Pakistan,Saudi Arabia,Saleh Al-Shehri,48,FALSE,TRUE
2023-11-16,Saudi Arabia,Pakistan,Saudi Arabia,Abdulrahman Ghareeb,90,FALSE,FALSE
2023-11-16,Saudi Arabia,Pakistan,Saudi Arabia,Abdullah Radif,90,FALSE,FALSE
2023-11-16,Slovakia,Iceland,Iceland,Orri Óskarsson,17,FALSE,FALSE
2023-11-16,Slovakia,Iceland,Slovakia,Juraj Kucka,30,FALSE,FALSE
2023-11-16,Slovakia,Iceland,Slovakia,Ondrej Duda,36,FALSE,TRUE
2023-11-16,Slovakia,Iceland,Slovakia,Lukáš Haraslín,47,FALSE,FALSE
2023-11-16,Slovakia,Iceland,Slovakia,Lukáš Haraslín,55,FALSE,FALSE
2023-11-16,Slovakia,Iceland,Iceland,Andri Guðjohnsen,74,FALSE,FALSE
2023-11-16,South Korea,Singapore,South Korea,Cho Gue-sung,44,FALSE,FALSE
2023-11-16,South Korea,Singapore,South Korea,Hwang Hee-chan,49,FALSE,FALSE
2023-11-16,South Korea,Singapore,South Korea,Son Heung-min,63,FALSE,FALSE
2023-11-16,South Korea,Singapore,South Korea,Hwang Ui-jo,68,FALSE,TRUE
2023-11-16,South Korea,Singapore,South Korea,Lee Kang-in,85,FALSE,FALSE
2023-11-16,Sudan,Togo,Sudan,Mohamed Eisa,17,FALSE,TRUE
2023-11-16,Sudan,Togo,Togo,Kévin Denkey,43,FALSE,FALSE
2023-11-16,Syria,North Korea,Syria,Omar Al Somah,37,FALSE,TRUE
2023-11-16,Tajikistan,Jordan,Tajikistan,Shahrom Samiev,89,FALSE,FALSE
2023-11-16,Tajikistan,Jordan,Jordan,Yazan Al-Naimat,90,FALSE,FALSE
2023-11-16,Thailand,China PR,Thailand,Sarach Yooyen,23,FALSE,FALSE
2023-11-16,Thailand,China PR,China PR,Wu Lei,29,FALSE,FALSE
2023-11-16,Thailand,China PR,China PR,Wang Shangyuan,74,FALSE,FALSE
2023-11-16,Turkmenistan,Uzbekistan,Turkmenistan,Meýlis Durdyýew,44,FALSE,FALSE
2023-11-16,Turkmenistan,Uzbekistan,Uzbekistan,Otabek Shukurov,57,FALSE,FALSE
2023-11-16,Turkmenistan,Uzbekistan,Uzbekistan,Otabek Shukurov,77,FALSE,FALSE
2023-11-16,Turkmenistan,Uzbekistan,Uzbekistan,Eldor Shomurodov,90,FALSE,FALSE
2023-11-16,United Arab Emirates,Nepal,United Arab Emirates,Khalifa Al Hammadi,11,FALSE,FALSE
2023-11-16,United Arab Emirates,Nepal,United Arab Emirates,Ali Mabkhout,36,FALSE,TRUE
2023-11-16,United Arab Emirates,Nepal,United Arab Emirates,Ali Mabkhout,44,FALSE,FALSE
2023-11-16,United Arab Emirates,Nepal,United Arab Emirates,Fábio Lima,45,FALSE,FALSE
2023-11-16,Yemen,Bahrain,Bahrain,Mohamed Marhoon,38,FALSE,FALSE
2023-11-16,Yemen,Bahrain,Bahrain,Harwan Al-Zubaidi,48,TRUE,FALSE
2023-11-17,Burkina Faso,Guinea-Bissau,Guinea-Bissau,Mama Baldé,20,FALSE,FALSE
2023-11-17,Burkina Faso,Guinea-Bissau,Burkina Faso,Bertrand Traoré,61,FALSE,FALSE
2023-11-17,Cameroon,Mauritius,Cameroon,Bryan Mbeumo,45,FALSE,FALSE
2023-11-17,Cameroon,Mauritius,Cameroon,Georges-Kévin Nkoudou,87,FALSE,FALSE
2023-11-17,Cameroon,Mauritius,Cameroon,Frank Magri,90,FALSE,FALSE
2023-11-17,Comoros,Central African Republic,Central African Republic,Abdel-Hakim Abdallah,10,TRUE,FALSE
2023-11-17,Comoros,Central African Republic,Comoros,Kassim M'Dahoma,29,FALSE,FALSE
2023-11-17,Comoros,Central African Republic,Comoros,Benjaloud Youssouf,50,FALSE,FALSE
2023-11-17,Comoros,Central African Republic,Comoros,Rafiki Saïd,58,FALSE,FALSE
2023-11-17,Comoros,Central African Republic,Comoros,Myziane Maolida,67,FALSE,FALSE
2023-11-17,Comoros,Central African Republic,Central African Republic,Younn Zahary,74,TRUE,FALSE
2023-11-17,Denmark,Slovenia,Denmark,Joakim Mæhle,26,FALSE,FALSE
2023-11-17,Denmark,Slovenia,Slovenia,Erik Janža,30,FALSE,FALSE
2023-11-17,Denmark,Slovenia,Denmark,Thomas Delaney,54,FALSE,FALSE
2023-11-17,England,Malta,England,Enrico Pepe,8,TRUE,FALSE
2023-11-17,England,Malta,England,Harry Kane,75,FALSE,FALSE
2023-11-17,Eswatini,Libya,Libya,Ahmed Krawa'a,53,FALSE,FALSE
2023-11-17,Finland,Northern Ireland,Finland,Joel Pohjanpalo,42,FALSE,TRUE
2023-11-17,Finland,Northern Ireland,Finland,Daniel Håkans,48,FALSE,FALSE
2023-11-17,Finland,Northern Ireland,Finland,Teemu Pukki,74,FALSE,FALSE
2023-11-17,Finland,Northern Ireland,Finland,Robin Lod,88,FALSE,FALSE
2023-11-17,Ghana,Madagascar,Ghana,Iñaki Williams,90,FALSE,FALSE
2023-11-17,Guinea,Uganda,Guinea,Aguibou Camara,10,FALSE,FALSE
2023-11-17,Guinea,Uganda,Uganda,Fahad Bayo,30,FALSE,FALSE
2023-11-17,Guinea,Uganda,Guinea,Seydouba Cissé,90,FALSE,FALSE
2023-11-17,Italy,North Macedonia,Italy,Matteo Darmian,17,FALSE,FALSE
2023-11-17,Italy,North Macedonia,Italy,Federico Chiesa,41,FALSE,FALSE
2023-11-17,Italy,North Macedonia,Italy,Federico Chiesa,45,FALSE,FALSE
2023-11-17,Italy,North Macedonia,North Macedonia,Jani Atanasov,52,FALSE,FALSE
2023-11-17,Italy,North Macedonia,North Macedonia,Jani Atanasov,74,FALSE,FALSE
2023-11-17,Italy,North Macedonia,Italy,Giacomo Raspadori,81,FALSE,FALSE
2023-11-17,Italy,North Macedonia,Italy,Stephan El Shaarawy,90,FALSE,FALSE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Sébastien Haller,20,FALSE,TRUE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Ibrahim Sangaré,24,FALSE,FALSE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Simon Adingra,36,FALSE,FALSE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Karim Konaté,40,FALSE,TRUE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Seko Fofana,60,FALSE,FALSE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Hamed Traorè,77,FALSE,FALSE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Jean-Philippe Krasso,84,FALSE,TRUE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Karim Konaté,90,FALSE,FALSE
2023-11-17,Ivory Coast,Seychelles,Ivory Coast,Hamed Traorè,90,FALSE,FALSE
2023-11-17,Kazakhstan,San Marino,Kazakhstan,Islam Chesnokov,19,FALSE,FALSE
2023-11-17,Kazakhstan,San Marino,Kazakhstan,Islam Chesnokov,51,FALSE,FALSE
2023-11-17,Kazakhstan,San Marino,San Marino,Simone Franciosi,60,FALSE,FALSE
2023-11-17,Kazakhstan,San Marino,Kazakhstan,Abat Aymbetov,90,FALSE,TRUE
2023-11-17,Liberia,Malawi,Malawi,Chifundo Mphasi,78,FALSE,FALSE
2023-11-17,Mali,Chad,Mali,Kamory Doumbia,45,FALSE,FALSE
2023-11-17,Mali,Chad,Chad,Marius Mouandilmadji,53,FALSE,FALSE
2023-11-17,Mali,Chad,Mali,Youssoufou Niakaté,77,FALSE,FALSE
2023-11-17,Mali,Chad,Mali,Ibrahim Sissoko,81,FALSE,FALSE
2023-11-17,Moldova,Albania,Albania,Sokol Çikalleshi,25,FALSE,TRUE
